Latin Name,Common Name,Community,Vegetation Type
Symphyotrichum lateriflorum,calico aster,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Symphyotrichum lateriflorum,calico aster,Piedmont Prairie (acidic wet variant),flowering forb
Symphyotrichum patens,late purple aster,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Symphyotrichum pilosum,frost aster,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Symphyotrichum puniceum,purple-stem aster,Piedmont Prairie (acidic wet variant),flowering forb
Symphyotrichum undulatum,wavyleaf aster,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Thelypteris palustris,marsh fern,Piedmont Prairie (acidic wet variant),fern
Toxicodendron radicans,poison ivy,Piedmont Acidic Oak Hickory Woodland,vine
Trichostema dichotomum,blue-curls,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Tridens flavus,tall redtop,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),graminoid
Uvularia perfoliata,perfoliate bellwort,Piedmont Acidic Oak Hickory Woodland,flowering forb
Vaccinium pallidum,hillside blueberry,Piedmont Acidic Oak Hickory Woodland,shrub
Vaccinium stamineum,deerberry,Piedmont Acidic Oak Hickory Woodland,shrub
Vernonia glauca,upland ironweed,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Vernonia noveboracensis,New York ironweed,Piedmont Prairie (acidic wet variant),flowering forb
Viburnum acerifolium,mapleleaf viburnum,Piedmont Acidic Oak Hickory Woodland,shrub
Viburnum dentatum,arrowwood vuburnum,Piedmont Prairie (acidic wet variant),shrub
Viburnum prunifolium,black haw viburnum,Piedmont Acidic Oak Hickory Woodland,shrub
Viola hirsutula,southern wood violet,Piedmont Acidic Oak Hickory Woodland,flowering forb
Viola palmata,wood violet,Piedmont Acidic Oak Hickory Woodland,flowering forb
Viola sagittata,arrow-leaved violet,Central Virginia Piedmont Uplands Prairie (Acidic / Nutrient-poor Variant),flowering forb
Viola sororia,common blue violet,Piedmont Acidic Oak Hickory Woodland,flowering forb
Vitis cinerea,graybark grape,Piedmont Acidic Oak Hickory Woodland,vine
Vitis vulpina,fox grape,Piedmont Acidic Oak Hickory Woodland,vine
